userid,date,hour,points
f072fcde-6466-4e10-b17c-de169c11fa1f,9/13/19,20,-368
be5488aa-32c4-4897-a081-13de734c3a80,9/13/19,19,121
9c6389a8-d335-4ca4-bdac-deac9b19f44d,9/21/19,17,-119
4768df1a-5c78-44b4-b4cf-a46dfaf41d9c,8/25/19,18,71
ffd33189-0e9a-40a1-9644-893cee8a1f50,8/6/19,19,1717
4a569995-46bb-4bd8-94f4-d5a764cc378f,8/25/19,19,-606
465c84db-04d6-4d03-86e3-e0cecf5b05fa,8/2/19,19,2896
03530c8d-7ea0-4743-80b8-0a5b77a3a2e4,8/6/19,19,-15
3b5d1330-8f5e-4dd9-9106-315503eedbe7,8/14/19,19,301
df58ca9c-d915-46a8-a9db-54ac5dbda5a2,8/14/19,18,-17
0ef15eee-4019-49dc-881d-97e998f0792d,8/14/19,18,-1842
af8a81ea-6de9-41ba-aa81-ccebf44a8bed,8/14/19,19,1547
4768df1a-5c78-44b4-b4cf-a46dfaf41d9c,9/24/19,20,158
298a7fc2-3fa2-4712-b843-a6c0cfc11f4e,9/24/19,17,-622
39a20bcb-a77b-448e-8635-a4064f52eedf,9/13/19,18,111
37e82f9c-25da-4c88-959a-58ed8af322b1,9/13/19,18,2922
3b5d1330-8f5e-4dd9-9106-315503eedbe7,9/13/19,19,310
4297f22d-1889-4b5b-80bb-cdaa6a8809bd,10/15/19,19,624
a5060735-2a65-4f2d-b068-0371f04a34bb,10/15/19,19,-607
8c011cf1-023e-4d3b-aae0-9f2c5db2da92,10/22/19,19,1201
9df8b649-0a06-4264-aa37-a5c27fc95d11,11/8/19,19,-168
03530c8d-7ea0-4743-80b8-0a5b77a3a2e4,11/8/19,20,679
9a13911a-557c-4a1a-adf1-39561741a2ab,11/19/19,19,1007
1dd7cf9d-33bd-4c39-a675-b12910af1e6d,11/18/19,18,-1250
df58ca9c-d915-46a8-a9db-54ac5dbda5a2,12/2/19,18,332
e1f2d6ec-6f5a-493d-8cd0-9df4dea79322,12/20/19,19,-40
af8a81ea-6de9-41ba-aa81-ccebf44a8bed,10/28/19,19,-818
e1f2d6ec-6f5a-493d-8cd0-9df4dea79322,11/4/19,20,-62
ffd33189-0e9a-40a1-9644-893cee8a1f50,10/28/19,20,611
371449a2-5aaa-4d98-ae6f-3b7006e76ccf,11/25/19,18,206
9df8b649-0a06-4264-aa37-a5c27fc95d11,12/10/19,20,71
4a569995-46bb-4bd8-94f4-d5a764cc378f,12/6/19,20,-13
9a13911a-557c-4a1a-adf1-39561741a2ab,12/16/19,19,-665
e1f2d6ec-6f5a-493d-8cd0-9df4dea79322,12/26/19,20,100
df58ca9c-d915-46a8-a9db-54ac5dbda5a2,12/27/19,19,245
1d780587-c74c-41b1-8955-6417e283f653,7/5/19,20,1675
6741c02f-0fc6-4e35-abf9-8650573a5311,6/11/19,20,23
d45f30cf-53e9-4139-8090-ad7c29d03795,6/11/19,20,599
40cb95a0-c119-4ae6-aca1-d16f322ed137,6/5/19,20,-574
0b6c57c7-f805-432d-a049-58744371d3cd,6/11/19,20,1069
5fcdb0e2-ca9a-4324-b870-cc064d69949a,6/24/19,20,343
56301c4c-5101-4fb9-8c45-9cadca96fa30,6/6/19,20,215
c91afcf9-32bd-497d-8427-0a12e37cb85d,6/6/19,20,386
1d780587-c74c-41b1-8955-6417e283f653,6/19/19,19,2006??
64e45506-91be-4d9e-9197-3acf100146af,6/24/19,20,537
6741c02f-0fc6-4e35-abf9-8650573a5311,6/28/19,19,-408
c91afcf9-32bd-497d-8427-0a12e37cb85d,6/10/19,20,317
5fcdb0e2-ca9a-4324-b870-cc064d69949a,7/9/19,20,-47
4755324c-2d23-47f7-a9de-0a06a74bcc1f,7/5/19,20,25
10122e69-274e-46bf-bdcf-b0940871693e,6/10/19,20,-122
c91afcf9-32bd-497d-8427-0a12e37cb85d,5/21/19,20,384
6f34fed5-ec4c-454c-a25e-0a8aa12dea92,6/5/19,19,96
1d780587-c74c-41b1-8955-6417e283f653,6/10/19,20,1076
91695bb9-b247-44ee-8c1f-55ec1cc8039a,5/31/19,20,220
78af73fd-532d-4d04-9c5e-87ab57dbc1c7,6/28/19,19,422
ac3a46b4-5573-425e-82e6-b7220981dcf2,7/5/19,19,84
a93be25f-8b12-4fef-abf1-8f02dd955a1f,7/5/19,20,132
78af73fd-532d-4d04-9c5e-87ab57dbc1c7,6/11/19,19,-116
64e45506-91be-4d9e-9197-3acf100146af,5/29/19,18,450
ac3a46b4-5573-425e-82e6-b7220981dcf2,5/31/19,20,303
df26b16b-41e6-414f-8346-36ced8fdcd37,7/12/19,19,355
4d17cd66-c27f-449e-82e4-fc40975f6da0,7/17/19,19,30
1d780587-c74c-41b1-8955-6417e283f653,7/12/19,20,1398
93ec5e28-f269-4a8f-b790-d262781c224a,7/24/19,19,339
e579e952-74cd-4583-baca-77013c409eb1,7/24/19,19,447
d45f30cf-53e9-4139-8090-ad7c29d03795,8/2/19,18,-1081
a93be25f-8b12-4fef-abf1-8f02dd955a1f,8/2/19,18,362
a93be25f-8b12-4fef-abf1-8f02dd955a1f,7/15/19,19,627
a86853e1-c822-46ba-b875-2f28db056161,8/10/19,19,-548
6741c02f-0fc6-4e35-abf9-8650573a5311,4/26/19,20,73
c91afcf9-32bd-497d-8427-0a12e37cb85d,3/1/19,19,-532
c91afcf9-32bd-497d-8427-0a12e37cb85d,3/18/19,19,264
5fcdb0e2-ca9a-4324-b870-cc064d69949a,4/12/19,19,4
db05a10e-2737-4327-935b-a5dd26c343bb,3/12/19,20,-1105
c91afcf9-32bd-497d-8427-0a12e37cb85d,2/15/19,19,-25
2b052df4-0a0c-4847-8b9b-e4a3607e90c8,3/12/19,20,539
df26b16b-41e6-414f-8346-36ced8fdcd37,2/6/19,18,77
d45f30cf-53e9-4139-8090-ad7c29d03795,3/18/19,20,-451
928b3827-c773-4265-8229-a473317fa0a2,4/8/19,19,-186
6741c02f-0fc6-4e35-abf9-8650573a5311,4/8/19,19,-126
56301c4c-5101-4fb9-8c45-9cadca96fa30,3/25/19,19,366
93ec5e28-f269-4a8f-b790-d262781c224a,2/1/19,17,23
78af73fd-532d-4d04-9c5e-87ab57dbc1c7,4/25/19,20,-899
4755324c-2d23-47f7-a9de-0a06a74bcc1f,2/21/19,18,31
1d780587-c74c-41b1-8955-6417e283f653,5/3/19,20,1437
c91afcf9-32bd-497d-8427-0a12e37cb85d,4/25/19,20,218
91695bb9-b247-44ee-8c1f-55ec1cc8039a,3/1/19,19,32
928b3827-c773-4265-8229-a473317fa0a2,3/25/19,19,-34
701c46af-a65c-43af-810d-63dcf3790f23,1/7/19,18,-37
5fcdb0e2-ca9a-4324-b870-cc064d69949a,3/18/19,20,39
b7de77ee-87e8-4b6b-8c99-f2e630e0023e,3/7/19,20,-198
b7b48774-d7df-48d8-bebb-529575c8830f,3/1/19,19,14
81961b61-87cb-4e8c-a984-f9bb24028402,3/22/99,19,728
93ec5e28-f269-4a8f-b790-d262781c224a,5/13/19,19,66
f547c649-8ff1-4643-99c4-f5d8ac213e63,2/6/19,20,54
fb8a459f-8b4e-4014-8525-43f5f7958309,4/1/19,20,29
367db8d9-7987-4e0f-841e-f83598e6a833,4/17/19,19,210
11641903-13e9-4034-ad5e-97e3b1f1b2b2,1/22/19,18,-452
b7b48774-d7df-48d8-bebb-529575c8830f,5/3/19,20,-44
80dd8e4a-9c9b-49b5-acf4-186695bd45f9,4/8/19,18,20
a93be25f-8b12-4fef-abf1-8f02dd955a1f,8/14/19,19,-462
b7b48774-d7df-48d8-bebb-529575c8830f,8/21/19,20,77
928b3827-c773-4265-8229-a473317fa0a2,8/21/19,20,206
4755324c-2d23-47f7-a9de-0a06a74bcc1f,8/23/19,20,-74
c91afcf9-32bd-497d-8427-0a12e37cb85d,8/25/19,20,349
10122e69-274e-46bf-bdcf-b0940871693e,8/15/19,20,-140
5fcdb0e2-ca9a-4324-b870-cc064d69949a,8/27/19,20,544
f547c649-8ff1-4643-99c4-f5d8ac213e63,8/27/19,18,161
93ec5e28-f269-4a8f-b790-d262781c224a,9/13/19,19,326
4d17cd66-c27f-449e-82e4-fc40975f6da0,9/13/19,19,179
56301c4c-5101-4fb9-8c45-9cadca96fa30,9/13/19,20,269
1b3e9f20-9b26-4d2a-8389-d9b37d772423,9/13/19,18,85
3b08b097-17bc-41dd-8d46-39b95fb0a081,8/21/19,19,90
f547c649-8ff1-4643-99c4-f5d8ac213e63,9/13/19,17,132
51a25388-d39d-4697-8d10-99cdd39ca430,9/13/19,18,225
11641903-13e9-4034-ad5e-97e3b1f1b2b2,8/2/19,18,-448
e579e952-74cd-4583-baca-77013c409eb1,8/2/39,18,2611
78af73fd-532d-4d04-9c5e-87ab57dbc1c7,8/10/19,18,1048
64e45506-91be-4d9e-9197-3acf100146af,8/14/19,18,31
2b052df4-0a0c-4847-8b9b-e4a3607e90c8,8/14/19,18,107
e579e952-74cd-4583-baca-77013c409eb1,8/10/19,18,1143
df26b16b-41e6-414f-8346-36ced8fdcd37,8/2/19,18,246
db05a10e-2737-4327-935b-a5dd26c343bb,9/13/19,19,26
51a25388-d39d-4697-8d10-99cdd39ca430,9/22/19,17,577
5fcdb0e2-ca9a-4324-b870-cc064d69949a,9/24/19,20,112
928b3827-c773-4265-8229-a473317fa0a2,10/15/19,19,28
e579e952-74cd-4583-baca-77013c409eb1,19/24/2019,20,205
4755324c-2d23-47f7-a9de-0a06a74bcc1f,10/22/19,20,66
a93be25f-8b12-4fef-abf1-8f02dd955a1f,11/8/19,18,-37
64e45506-91be-4d9e-9197-3acf100146af,10/24/19,20,32
c91afcf9-32bd-497d-8427-0a12e37cb85d,11/8/19,18,-742
4d17cd66-c27f-449e-82e4-fc40975f6da0,11/8/19,20,187
2f88e915-6a2a-4023-ab33-3c5923f54125,11/13/19,19,-5453
72aed23a-ddf2-41b4-8696-812be0498025,11/18/19,18,613
a7e93870-cc17-47ec-a521-428d9e9497be,11/18/19,20,580
11641903-13e9-4034-ad5e-97e3b1f1b2b2,10/28/19,19,320
c1521ebf-b8f5-4a10-8c1a-9d1e734276bb,11/4/19,20,13
dbdbe6f2-137f-4d74-8438-9a755a335c99,12/5/19,19,1159
a86853e1-c822-46ba-b875-2f28db056161,10/28/19,19,158
56301c4c-5101-4fb9-8c45-9cadca96fa30,12/13/19,19,385
78af73fd-532d-4d04-9c5e-87ab57dbc1c7,12/4/19,18,739
c1521ebf-b8f5-4a10-8c1a-9d1e734276bb,12/10/19,19,109
b7b48774-d7df-48d8-bebb-529575c8830f,12/26/19,18,49
40cb95a0-c119-4ae6-aca1-d16f322ed137,12/16/19,19,-564
80dd8e4a-9c9b-49b5-acf4-186695bd45f9,12/4/19,18,47
56301c4c-5101-4fb9-8c45-9cadca96fa30,12/26/19,18,-374
3c47d25f-bbef-4d1d-a3c1-676bfbc2bee7,6/23/19,20,22
acc10705-a72a-4128-a3bb-9f3c7de85f46,6/19/19,19,45
aa24478c-2b6f-409a-9938-9aa7b85583b9,6/23/19,20,2536
708ba0f5-e471-4194-8809-174305e59544,6/10/19,20,842
faceadf9-929e-4e45-aacd-46586a4c6517,6/23/19,19,793
7725ba77-4420-4757-a15c-54da369a24cf,6/11/19,20,-254
708ba0f5-e471-4194-8809-174305e59544,7/9/19,20,401
acc10705-a72a-4128-a3bb-9f3c7de85f46,6/19/19,20,186
fa80dd8b-8597-44e1-8351-276f874ebc2a,6/19/19,19,-111
d69afd0e-5291-44c4-95b4-7907a4f5f1c6,6/28/19,20,-69
cf5827a1-16a0-470f-8554-d9cf2ef2b30d,5/16/19,20,116
faceadf9-929e-4e45-aacd-46586a4c6517,7/5/19,19,8
aa24478c-2b6f-409a-9938-9aa7b85583b9,7/9/19,20,-2582
334d05f9-de0d-417b-83c7-173459386d29,6/11/19,20,677
b09b7e30-da2d-41be-826d-6dcc0aaf7876,6/10/19,19,1459
07ebde9d-8eba-4d84-9631-60def220ef8e,6/11/19,19,-977
6587578d-af94-46ba-98c6-d1179d79ada6,5/29/19,18,-53
6b39ffa9-a115-4b97-a44e-9fc4c30ccdc3,6/5/19,19,254
cd4dcee8-18c8-4ea7-815e-32b2097df923,5/29/19,18,11
5616d0cd-b8bb-4181-b7d1-68c4cd3692a1,6/24/19,20,615
bc1271b4-156b-4dbd-94d1-7857e57a39b1,5/23/19,19,82
708ba0f5-e471-4194-8809-174305e59544,7/12/19,19,-462
798e18aa-634b-4cd2-aec9-8e2844327bf9,7/12/19,19,351
bc1271b4-156b-4dbd-94d1-7857e57a39b1,7/17/19,19,14
07ebde9d-8eba-4d84-9631-60def220ef8e,7/12/19,20,-77
6ede2919-ba37-4677-b66f-3b43fc74f875,7/12/19,19,117
d08e94a9-64ab-44a8-8acf-8997c84bc545,7/15/19,19,243
ad6d96f5-f517-4125-88a1-1b01150404fe,7/15/19,19,566
dfdc226a-7b93-4baa-9092-c475f6f9300f,8/2/19,19,-487
fa80dd8b-8597-44e1-8351-276f874ebc2a,3/12/19,18,212
99734e4b-b19c-4b22-9ff9-660ba1949ccc,3/11/19,19,1193
27841c93-5419-4e51-bf9c-4b537d2cbbc7,3/8/19,19,1459
b3c47707-b11f-4a14-9fc7-57b629bb26f4,4/1/19,19,275
acc10705-a72a-4128-a3bb-9f3c7de85f46,5/3/19,20,-212
acc10705-a72a-4128-a3bb-9f3c7de85f46,4/26/19,19,88
6b39ffa9-a115-4b97-a44e-9fc4c30ccdc3,4/23/19,20,627
faceadf9-929e-4e45-aacd-46586a4c6517,4/17/19,19,74
62e39226-ab28-47a7-acb2-72e2944c06a5,2/13/19,20,677
3153d5fb-f297-4523-8c78-1b7ca42ed46c,3/12/19,20,-822
07ebde9d-8eba-4d84-9631-60def220ef8e,4/25/19,20,271
d69afd0e-5291-44c4-95b4-7907a4f5f1c6,1/15/19,19,158
72b4fbba-b3ea-4fe3-9b6d-220238fd7d17,2/21/19,18,11
3153d5fb-f297-4523-8c78-1b7ca42ed46c,4/5/19,19,424
cd4dcee8-18c8-4ea7-815e-32b2097df923,3/28/19,20,-150
3153d5fb-f297-4523-8c78-1b7ca42ed46c,4/12/19,19,138
5616d0cd-b8bb-4181-b7d1-68c4cd3692a1,2/7/19,20,-2216
334d05f9-de0d-417b-83c7-173459386d29,4/18/19,20,2577
bc1271b4-156b-4dbd-94d1-7857e57a39b1,2/20/19,19,69
6ede2919-ba37-4677-b66f-3b43fc74f875,3/20/19,20,74
3c47d25f-bbef-4d1d-a3c1-676bfbc2bee7,2/28/19,19,429
69693b6f-abcd-4efd-afb5-e6cbe222a317,2/1/19,19,483
cf5827a1-16a0-470f-8554-d9cf2ef2b30d,4/2/19,19,28
b09b7e30-da2d-41be-826d-6dcc0aaf7876,5/14/19,19,2035
d69afd0e-5291-44c4-95b4-7907a4f5f1c6,3/4/19,19,191
3c47d25f-bbef-4d1d-a3c1-676bfbc2bee7,4/23/19,19,243
99734e4b-b19c-4b22-9ff9-660ba1949ccc,8/14/19,19,-663
bc1271b4-156b-4dbd-94d1-7857e57a39b1,8/21/19,19,98
dfdc226a-7b93-4baa-9092-c475f6f9300f,8/22/19,18,-119
cbe0050c-07c0-4f0e-a518-41b481cfc816,8/23/19,19,974
708ba0f5-e471-4194-8809-174305e59544,8/25/19,18,1057
acc10705-a72a-4128-a3bb-9f3c7de85f46,8/25/19,19,621
5616d0cd-b8bb-4181-b7d1-68c4cd3692a1,8/27/19,20,866
72b4fbba-b3ea-4fe3-9b6d-220238fd7d17,9/13/19,19,-10
1900134f-c754-4bd8-b4c6-0028241334d2,9/13/19,18,864
6587578d-af94-46ba-98c6-d1179d79ada6,9/13/19,18,-184
6ede2919-ba37-4677-b66f-3b43fc74f875,9/17/19,19,-965
708ba0f5-e471-4194-8809-174305e59544,8/2/19,19,79
cbe0050c-07c0-4f0e-a518-41b481cfc816,8/10/19,18,91
3c47d25f-bbef-4d1d-a3c1-676bfbc2bee7,8/30/19,20,452
fa80dd8b-8597-44e1-8351-276f874ebc2a,8/2/19,19,-196
6b39ffa9-a115-4b97-a44e-9fc4c30ccdc3,8/25/19,18,449
6ede2919-ba37-4677-b66f-3b43fc74f875,8/10/19,18,-36
fa80dd8b-8597-44e1-8351-276f874ebc2a,8/10/19,18,-1723
4682faec-590e-4fe3-a84c-d0715ebabc43,8/14/19,19,-1136
cd4dcee8-18c8-4ea7-815e-32b2097df923,8/14/19,19,189
62e39226-ab28-47a7-acb2-72e2944c06a5,9/22/19,17,-781
dfdc226a-7b93-4baa-9092-c475f6f9300f,9/22/19,17,2512
faceadf9-929e-4e45-aacd-46586a4c6517,9/24/19,17,-529
b3c47707-b11f-4a14-9fc7-57b629bb26f4,9/13/19,18,612
334d05f9-de0d-417b-83c7-173459386d29,9/21/19,17,1515
bc1271b4-156b-4dbd-94d1-7857e57a39b1,9/24/19,20,78
99c72779-556d-4fd8-a961-857a854e55a4,10/15/19,19,118
25743f65-e5f2-4f54-9c22-b6ca0ee2e487,10/23/19,18,889
ff65d611-3287-46cb-a805-c42b91ab4760,10/22/19,20,968
99c72779-556d-4fd8-a961-857a854e55a4,10/24/19,20,87
d08e94a9-64ab-44a8-8acf-8997c84bc545,11/8/19,19,-53
6b39ffa9-a115-4b97-a44e-9fc4c30ccdc3,10/24/19,20,684
faceadf9-929e-4e45-aacd-46586a4c6517,11/13/19,18,-48
b3c47707-b11f-4a14-9fc7-57b629bb26f4,11/13/19,19,77
b7df445a-ceb5-44cc-9dcb-6a0a5cf3c59d,11/13/19,17,-255
97904919-4b40-447c-aead-ee67d611893e,10/28/19,19,6
1900134f-c754-4bd8-b4c6-0028241334d2,10/28/19,19,-5576
6b39ffa9-a115-4b97-a44e-9fc4c30ccdc3,11/4/19,20,199
3153d5fb-f297-4523-8c78-1b7ca42ed46c,10/28/19,19,-310
97904919-4b40-447c-aead-ee67d611893e,11/25/19,19,137
acc10705-a72a-4128-a3bb-9f3c7de85f46,11/25/19,19,1194
cd4dcee8-18c8-4ea7-815e-32b2097df923,10/28/19,19,-66
1ce29632-a41e-4953-9e91-db8ae89cf75b,12/26/19,19,1044
97904919-4b40-447c-aead-ee67d611893e,12/10/19,20,-646
9713aac2-f5f8-453a-9461-5130e9a4b6d7,12/10/19,19,1035
390e69f8-26b7-4392-87fb-95cdd92c2d33,12/18/19,20,13
faceadf9-929e-4e45-aacd-46586a4c6517,12/26/19,20,189
2bb54fc5-75ae-4ecd-a223-c70137725c33,6/6/19,20,-80
cea0daaf-28b7-44ab-a225-cabe0513fd65,6/24/19,19,3674
c565ffa3-6988-416c-bf4e-dcb25b74e772,6/11/19,19,184
0eb6845e-7326-4bbe-a255-7fca3e9d5d89,6/11/19,20,-3376
0eb6845e-7326-4bbe-a255-7fca3e9d5d89,6/11/19,19,-4553
b45576d7-4a37-4ee7-b202-0ad06eb65e3c,6/28/19,20,-207
0eb6845e-7326-4bbe-a255-7fca3e9d5d89,5/31/19,20,-463
02b683a8-86ff-4f99-9e29-f0ac4cf1a4af,5/29/19,18,75
3d1cfa6d-c2db-4c20-b86b-9f00b75d9a79,5/16/19,19,686
d6f29276-3da3-41cb-a21c-ee5834dfdd81,6/23/19,20,1194
3a261700-e6a2-456f-a4d6-4618347c2ded,6/28/19,19,404
c565ffa3-6988-416c-bf4e-dcb25b74e772,5/31/19,20,414
3a8232f7-9317-4e7c-802b-8834dfae93f0,6/23/19,19,16
3d1cfa6d-c2db-4c20-b86b-9f00b75d9a79,7/9/19,20,-2313
2e6ebaa9-f84b-4fcd-bea8-ad42364ac4f6,5/23/19,20,839
b45576d7-4a37-4ee7-b202-0ad06eb65e3c,5/20/19,19,110
d678d65b-8269-43a4-b88e-221ac87c3d73,7/12/19,19,-79
b45576d7-4a37-4ee7-b202-0ad06eb65e3c,7/24/19,19,-46
4d3fd542-ef72-4244-97a1-543c84f687eb,7/12/19,19,623
270bc849-22c2-4df1-ba9d-e6128efc5fb0,8/2/19,18,-510
cea0daaf-28b7-44ab-a225-cabe0513fd65,8/10/19,19,1789
f522da7f-488b-49d1-8b1b-f5d5c0573ff5,4/1/19,20,1021
685ee94b-d8a7-4a0f-8286-464a79b9deb8,2/1/19,18,1391
0eb6845e-7326-4bbe-a255-7fca3e9d5d89,3/22/19,20,1498
270bc849-22c2-4df1-ba9d-e6128efc5fb0,2/13/19,19,-2
d6f29276-3da3-41cb-a21c-ee5834dfdd81,3/8/19,19,159
d6f29276-3da3-41cb-a21c-ee5834dfdd81,3/18/19,19,-156
1f71c5fa-f70c-428c-b901-a3877ea9284a,2/1/19,20,-445
d6f29276-3da3-41cb-a21c-ee5834dfdd81,2/1/19,19,373
3d1cfa6d-c2db-4c20-b86b-9f00b75d9a79,4/2/19,20,2068
7039d39a-16d4-43c0-a2ba-44e40e5c60f6,3/25/19,19,-154
3d1cfa6d-c2db-4c20-b86b-9f00b75d9a79,3/12/19,20,-1350
cea0daaf-28b7-44ab-a225-cabe0513fd65,4/24/19,20,-251
7039d39a-16d4-43c0-a2ba-44e40e5c60f6,4/26/19,20,108
d6f29276-3da3-41cb-a21c-ee5834dfdd81,2/21/19,18,370
2bb54fc5-75ae-4ecd-a223-c70137725c33,4/8/19,19,-667
3a261700-e6a2-456f-a4d6-4618347c2ded,3/8/19,19,569
f522da7f-488b-49d1-8b1b-f5d5c0573ff5,1/7/19,18,928
cea0daaf-28b7-44ab-a225-cabe0513fd65,8/14/19,19,3522
d678d65b-8269-43a4-b88e-221ac87c3d73,8/23/19,19,766
650b3b46-2fde-4348-b09b-a970aa4436a8,8/23/19,19,-847
c565ffa3-6988-416c-bf4e-dcb25b74e772,8/25/19,19,164
02b683a8-86ff-4f99-9e29-f0ac4cf1a4af,9/4/19,18,748
cea0daaf-28b7-44ab-a225-cabe0513fd65,9/4/19,18,3442
d678d65b-8269-43a4-b88e-221ac87c3d73,9/17/19,19,411
59c55b11-defb-4efb-9177-aab3fbbec2a1,9/13/19,18,188
c565ffa3-6988-416c-bf4e-dcb25b74e772,9/17/19,19,-333
cea0daaf-28b7-44ab-a225-cabe0513fd65,9/13/19,17,3635
b45576d7-4a37-4ee7-b202-0ad06eb65e3c,8/14/19,19,220
a8e1383a-490e-4281-979f-1178c7ba25e0,8/15/19,18,-2088
650b3b46-2fde-4348-b09b-a970aa4436a8,8/14/19,19,-108
bd5e96d6-f1db-42fe-9b2d-e8a694f86a1a,8/14/19,19,489
f522da7f-488b-49d1-8b1b-f5d5c0573ff5,8/10/19,18,2617
3d1cfa6d-c2db-4c20-b86b-9f00b75d9a79,8/10/19,18,-1335
